States,ID,Year,ID+Year,Previous,Next,Sucide_number,Sucide_Rate,Sucide_Age_adjected_rate,Past_Oriented,Future_Oriented,GSP,percapitapersonalincome,population,populationgrowthrate,unemploymentrate,Atkinson Index,Gini_Coefficient,Relative Mean Deviation,Theil Index,Top 10%,Top 1%,co2,so2,nox,presidential_election,q_climate_change,q_global_warming,q_recycling,q_disposable,nuclear_ratio,coal_ratio,geothermal_ratio,hydroelectricconventional_ratio,naturalgas_ratio,solarthermalandphotovoltaic_rati,wind_ratio,petroleum_ratio,otherbiomass_ratio,other_ratio,othergases_ratio,pumpedstorage_ratio,woodandwoodderivedfuels_ratio,electricityprice
Alabama,1,2004,12004,88,89,541,11.9,11.7,0.988764045,1.011363636,148396,28864,4.50E+06,0.6,5,0.26367259,0.606339872,0.811863124,0.697928965,0.426981449,0.194903806,8.10E+07,408798,136335,1,0,0,0,0,0.230322,0.544805,0,0.077363,0.116319,0,0,0.002148,0.000167,0.000203,0.001325,0,0.027348,6.08
Alaska,2,2004,22004,83,88,155,23.6,23.4,0.943181818,1.060240964,35527,35717,661569,1.7,7.4,0.247356534,0.590420961,0.824640751,0.579691052,0.40441528,0.164851353,4.80E+06,4346,24879,1,0,0,0,0,0,0.099434,0,0.229521,0.555169,0,0,0.114463,0.001353,0,0,0,0.00006,10.99
Arizona,3,2004,32004,86,79,880,15.3,15.7,1.088607595,0.918604651,204074,30224,5.80E+06,2.6,5,0.288286328,0.577191651,0.820435643,0.826982439,0.445396364,0.192404255,5.30E+07,54925,78035,1,0,49,45,0,0.268855,0.380729,0,0.066688,0.270312,0.000041,0,0.000387,0.000421,0.013079,0,-0.000511,0,7.45
Arkansas,4,2004,42004,91,79,361,13.1,12.9,1.151898734,0.868131868,86813,26912,2.70E+06,0.9,5.6,0.250700057,0.619655907,0.791096568,0.639796793,0.420946211,0.19376646,2.90E+07,87143,44267,1,0,0,0,0,0.297527,0.488248,0,0.070164,0.097612,0,0,0.010379,0.000628,0.000731,0,0.000477,0.034236,5.67
California,5,2004,52004,91,90,3368,9.4,9.6,1.011111111,0.989010989,1.60E+06,37156,3.60E+07,0.9,6.2,0.328008801,0.608567417,0.891285956,1.032735229,0.489489317,0.192300767,6.00E+07,22311,98232,0,32,52,70,87,0.155395,0.011489,0.067282,0.175279,0.51454,0.002931,0.022106,0.011618,0.011099,0.0022,0.010607,-0.004194,0.019647,11.35
Colorado,6,2004,62004,90,72,797,17.3,17.3,1.25,0.8,204354,36421,4.60E+06,1,5.60E+00,0.293812335,0.571258068,0.831451833,0.849613011,0.447269052,0.182478368,4.10E+07,59003,66905,1,64,53,66,0,0,0.748878,0,0.024957,0.224517,0,0.004599,0.00029,0.000729,0,0.000037,-0.004007,1.80E-06,6.95
Connecticut,7,2004,72004,80,76,294,8.4,8.1,1.052631579,0.95,199394,46627,3.50E+06,0.3,4.9,0.372770697,0.607479095,0.924536347,1.29052496,0.521262884,0.18803215,1.00E+07,6521,9292,0,0,62,46,0,0.506815,0.13039,0,0.014176,0.248451,0,0,0.053323,0.023055,0.023386,0,0.000236,0.000167,10.26
Delaware,8,2004,82004,91,100,93,11.2,10.9,0.91,1.098901099,49495,37169,826639,1.6,3.9,0.288249463,0.550498664,0.805293024,0.824348509,0.434098959,0.189087778,6.60E+06,34658,12993,0,0,0,0,0,0,0.603883,0,0,0.218752,0,0,0.140484,0,0,0.036881,0,0,7.53
District of Columbia,9,2004,92004,99,98,33,6,5.7,1.010204082,0.98989899,80753,51688,579796,-0.1,7.5,0.365446955,0.600765347,0.912189722,1.246387482,0.525605798,0.18749626,56473,157,170,0,100,46,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.47
Florida,10,2004,102004,87,87,2389,13.7,13.1,1,1,635769,34053,1.70E+07,2.4,4.7,0.336617827,0.646859884,0.909532428,1.113522768,0.512662113,0.231356457,1.30E+08,443109,250428,1,0,40,41,78,0.143113,0.29737,0,0.001216,0.351081,0,0,0.170804,0.010477,0.01571,0.000067,0,0.010161,8.16
Georgia,11,2004,112004,85,82,973,11,11.3,1.036585366,0.964705882,352883,31508,8.90E+06,1.7,4.7,0.285410553,0.598686695,0.840370953,0.799115181,0.450342417,0.186088622,8.30E+07,584453,114846,1,0,38,57,88,0.266122,0.630402,0,0.029117,0.048336,0,0,0.007464,0.000658,0.000312,0,-0.006922,0.024511,6.58
Hawaii,12,2004,122004,100,93,116,9.2,9,1.075268817,0.93,53325,33816,1.30E+06,1.8,3.2,0.261986971,0.566461623,0.795161247,0.678414166,0.415646613,0.177785784,9.20E+06,23871,29446,0,0,0,79,0,0,0.140552,0.018692,0.008229,0,0,0.000657,0.783907,0.028819,0.014945,0.004199,0,0,15.7
Idaho,13,2004,132004,93,73,236,16.9,17.4,1.273972603,0.784946237,44377,28974,1.40E+06,2.1,4.6,0.258153617,0.611331999,0.813795388,0.682329655,0.424217999,0.197036803,1.30E+06,7056,3761,1,0,0,0,0,0,0.009132,0,0.77894,0.156846,0,0,0.000012,0,0.003493,0,0,0.051577,4.97
Illinois,14,2004,142004,87,82,1028,8.1,8.1,1.06097561,0.942528736,560104,36180,1.30E+07,0.3,6.2,0.304428011,0.588453531,0.850366473,0.912899077,0.463145941,0.191134423,1.00E+08,386639,148962,0,0,52,59,90,0.479519,0.491783,0,0.0008,0.017677,0,0.000407,0.003971,0.003875,0.000686,0.001282,0,0,6.8
Indiana,15,2004,152004,83,76,704,11.3,11.3,1.092105263,0.915662651,240606,30821,6.20E+06,0.6,5.3,0.247845352,0.562558055,0.77857089,0.613460898,0.396109819,0.179909527,1.20E+08,796445,216269,1,0,51,57,0,0,0.944436,0,0.003473,0.019083,0,0,0.003328,0.001075,0.004059,0.024547,0,0,5.58
Iowa,16,2004,162004,89,78,343,11.6,11.3,1.141025641,0.876404494,118515,32259,2.90E+06,0.4,4.6,0.236332819,0.548501551,0.754919291,0.553208172,0.381710529,0.168982849,4.20E+07,135958,79287,0,0,87,60,0,0.113969,0.815576,0,0.021873,0.019069,0,0.024277,0.002512,0.002449,0.000275,0,0,0,6.4
Kansas,17,2004,172004,85,79,370,13.5,13.5,1.075949367,0.929411765,100272,31978,2.70E+06,0.4,5.5,0.260877371,0.578682184,0.803342998,0.678155065,0.416700542,0.182590991,3.80E+07,112409,85447,1,0,0,51,0,0.216592,0.739448,0,0.000268,0.017777,0,0.007666,0.01825,0,0,0,0,0,6.37
Kentucky,18,2004,182004,89,79,560,13.5,13.2,1.126582278,0.887640449,135941,28097,4.10E+06,0.7,5.6,0.245904237,0.591183364,0.7863307,0.603592455,0.404583722,0.18102029,8.80E+07,468590,151215,1,0,64,54,0,0,0.911039,0,0.03999,0.006134,0,0,0.038306,0.000655,0.000164,0.000018,0,0.003693,4.63
Louisiana,19,2004,192004,86,93,537,11.9,12,0.924731183,1.081395349,172825,27552,4.50E+06,0.7,5.5,0.256048024,0.630615771,0.818931639,0.654369175,0.427772909,0.190355256,5.90E+07,132431,106491,1,0,0,0,0,0.17398,0.240983,0,0.011193,0.470291,0,0,0.03976,0.00078,0.007778,0.0258,0,0.029436,7.13
Maine,20,2004,202004,77,61,171,13,12.2,1.262295082,0.792207792,44913,31715,1.30E+06,0.5,4.6,0.244953543,0.567308426,0.76604557,0.600577354,0.398056298,0.176201507,7.40E+06,19868,12407,0,0,95,0,0,0,0.018818,0,0.179605,0.514804,0,0,0.068691,0.021524,0.02969,2.00E-06,0,0.166866,9.69
Maryland,21,2004,212004,86,92,500,9,8.9,0.934782609,1.069767442,248001,41807,5.50E+06,0.9,4.3,0.290824413,0.536027849,0.807762623,0.817550361,0.425478637,0.162069708,3.20E+07,276545,65449,0,0,56,61,0,0.280105,0.560882,0,0.048173,0.022733,0,0,0.063337,0.007623,0.005545,0.007907,0,0.003696,7.15
Massachusetts,22,2004,222004,87,77,425,6.6,6.4,1.12987013,0.885057471,332069,42691,6.50E+06,-0.2,5.2,0.32517603,0.574005485,0.860962451,1.018642545,0.471444815,0.177722156,2.60E+07,75966,33088,0,48,49,60,83,0.125022,0.221605,0,0.021016,0.441505,0,0,0.158591,0.023485,0.016858,0,-0.010491,0.002407,10.77
Michigan,23,2004,232004,85,84,1098,10.9,10.8,1.011904762,0.988235294,384009,32119,1.00E+07,0.1,7.1,0.25808394,0.567499161,0.804698646,0.650407076,0.40978995,0.174535364,7.90E+07,351017,124264,0,0,57,62,88,0.257935,0.579016,0,0.012994,0.122779,0,0.000016,0.007565,0.005823,0.002459,0.005053,-0.009393,0.015754,6.94
Minnesota,24,2004,242004,83,73,524,10.3,10.1,1.136986301,0.879518072,232400,36881,5.10E+06,0.7,4.6,0.279350251,0.549865901,0.798919082,0.77844125,0.427972734,0.177814215,3.90E+07,107980,92069,0,0,64,84,0,0.253905,0.649303,0,0.0141,0.027836,0,0.015514,0.014962,0.006346,0.005577,0,0,0.012459,6.24
Mississippi,25,2004,252004,89,89,350,12.1,12.1,1,1,78326,25271,2.90E+06,0.7,6.3,0.238452271,0.639225304,0.776968956,0.572874665,0.413865089,0.185452655,2.60E+07,90173,49960,1,0,0,0,0,0.23436,0.40029,0,0,0.266099,0,0,0.063598,0.000071,0.000035,0.000933,0,0.034614,7
Missouri,26,2004,262004,84,79,715,12.4,12.3,1.063291139,0.94047619,216964,31724,5.80E+06,0.7,5.80E+00,0.261562467,0.585611105,0.80273509,0.687107503,0.418725044,0.189405337,7.80E+07,269613,116826,1,0,48,62,0,0.089358,0.856112,0,0.016888,0.032691,0,0,0.002238,0.000108,0.00126,0.000027,0.001316,2.20E-06,6.07
Montana,27,2004,272004,87,66,175,18.9,18.6,1.318181818,0.75862069,28200,28112,925887,1.1,4,0.246377543,0.652605653,0.817390263,0.619184971,0.425136536,0.193034753,2.00E+07,23025,35434,1,0,0,0,0,0,0.648788,0,0.330587,0.001043,0,0,0.016393,0,0,0.000858,0,0.002331,6.4
Nebraska,28,2004,282004,87,82,166,9.5,9.5,1.06097561,0.942528736,71219,33689,1.70E+06,0.6,3.9,0.259490371,0.589245319,0.802934468,0.68666029,0.416049391,0.196353644,2.10E+07,67758,45691,1,0,0,0,0,0.319952,0.63911,0,0.028524,0.009291,0,0.001201,0.000683,0.001235,0,4.40E-06,0,0,5.7
Nevada,29,2004,292004,88,85,440,18.8,19.2,1.035294118,0.965909091,103013,35680,2.30E+06,4.3,4.4,0.352194816,0.614899457,0.891592085,1.223096132,0.513626218,0.253357917,2.50E+07,49509,43373,1,0,0,0,0,0,0.484696,0.034446,0.042878,0.434878,0,0,0.002542,0,0,0.000558,0,0,8.56
New Hampshire,30,2004,302004,80,73,133,10.2,9.8,1.095890411,0.9125,53052,38223,1.30E+06,0.8,3.9,0.276879877,0.544314563,0.798777461,0.75446713,0.421562791,0.171245411,8.20E+06,51979,11668,0,0,100,67,0,0.426272,0.17072,0,0.055108,0.226161,0,0,0.08211,0.0065,0.002635,0,0,0.030494,11.37
New Jersey,31,2004,312004,86,84,597,6.9,6.8,1.023809524,0.976744186,422910,43072,8.60E+06,0.4,4.9,0.320902973,0.574903548,0.867713928,0.97663635,0.460318416,0.162787959,2.10E+07,48843,34361,0,0,46,58,70,0.484618,0.184718,0,0.000671,0.285639,0,0,0.025497,0.01442,0.008882,0.000694,-0.00514,0,10.29
New Mexico,32,2004,322004,87,84,356,18.7,18.7,1.035714286,0.965517241,70254,27479,1.90E+06,1.4,5.8,0.245383725,0.624370992,0.807148993,0.586215198,0.416711569,0.17770198,3.20E+07,34933,68380,0,0,0,0,0,0,0.88839,0,0.004218,0.090851,0,0.015588,0.000953,0,0,0,0,0,7.1
